"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.06.2020","26,6800","26,9000","26,9000","26,5525","","-0,78%"
"01.05.2020","26,8900","26,9750","27,0434","26,4872","","-0,22%"
"01.04.2020","26,9500","27,6225","27,8727","26,9015","","-2,30%"
"01.03.2020","27,5840","24,6612","28,2950","24,5800","","11,96%"
"01.02.2020","24,6375","25,1222","25,1350","24,3900","","-1,47%"
"01.01.2020","25,0050","23,6750","25,0777","23,6300","","5,55%"
"01.12.2019","23,6900","23,9650","23,9850","23,2227","","-1,17%"
"01.11.2019","23,9700","24,7025","24,8766","23,9447","","-3,27%"
"01.10.2019","24,7800","24,4750","25,2588","24,4250","","1,85%"
"01.09.2019","24,3300","25,1300","25,3913","24,0373","","-3,07%"
"01.08.2019","25,1000","25,2775","25,7675","24,9925","","0,07%"
"01.07.2019","25,0825","26,1700","26,2875","24,9400","","-4,06%"
"01.06.2019","26,1445","26,8900","27,2677","26,1297","","-2,61%"
"01.05.2019","26,8445","26,4975","26,9750","26,0877","","1,82%"
"01.04.2019","26,3650","27,2660","27,2660","26,3925","","-3,42%"
"01.03.2019","27,3000","27,0450","27,3288","26,2787","","1,00%"
"01.02.2019","27,0300","27,6273","27,6297","26,8100","","-2,07%"
"01.01.2019","27,6020","27,5270","28,3005","27,4772","","-0,35%"
"01.12.2018","27,7000","28,2200","28,2200","27,2122","","-1,70%"
"01.11.2018","28,1795","28,1900","28,4385","27,7197","","0,28%"
"01.10.2018","28,1000","28,2350","28,3687","27,9150","","-0,53%"
"01.09.2018","28,2500","28,2700","28,5200","28,0150","","0,07%"
"01.08.2018","28,2300","26,9600","28,2850","26,9500","","5,14%"
"01.07.2018","26,8500","26,2250","26,8850","26,1700","","2,13%"
"01.06.2018","26,2900","26,1213","26,5000","26,0812","","0,73%"
"01.05.2018","26,1000","26,1600","26,3300","26,0450","","-0,46%"
"01.04.2018","26,2200","26,3000","26,3250","25,9175","","-0,11%"
"01.03.2018","26,2500","26,6750","26,6825","25,8925","","-2,05%"
"01.02.2018","26,8000","27,8650","27,9412","26,5100","","-3,49%"
"01.01.2018","27,7700","27,9250","28,9050","27,7850","","-1,33%"
"01.12.2017","28,1450","27,0200","28,1625","27,0050","","4,05%"
"01.11.2017","27,0500","26,8900","27,2100","26,4450","","0,63%"
"01.10.2017","26,8800","26,6250","26,9000","26,2300","","1,05%"
"01.09.2017","26,6000","25,6950","26,6400","25,6950","","3,66%"
"01.08.2017","25,6600","25,8450","25,9450","25,4200","","-0,50%"
"01.07.2017","25,7900","26,0800","26,6850","25,7875","","-1,07%"
"01.06.2017","26,0700","26,2750","26,7200","25,9875","","-0,90%"
"01.05.2017","26,3075","26,5800","26,7500","26,2575","","-0,86%"
"01.04.2017","26,5350","27,0700","27,5300","26,5425","","-1,87%"
"01.03.2017","27,0400","27,1950","27,1950","26,7400","","-0,52%"
"01.02.2017","27,1800","27,0250","27,7500","26,8700","","0,41%"
"01.01.2017","27,0700","27,1000","27,8750","26,1500","","0,26%"
"01.12.2016","27,0000","25,5500","27,5000","25,5500","","5,80%"
"01.11.2016","25,5200","25,5150","26,5250","25,4925","","0,08%"
"01.10.2016","25,5000","25,9250","26,0000","25,4700","","-1,58%"
"01.09.2016","25,9100","26,6000","26,9000","25,1000","","-1,11%"
"01.08.2016","26,2000","24,8037","26,2500","24,7800","","5,65%"
"01.07.2016","24,8000","24,8125","24,9450","24,7450","","-0,04%"
"01.06.2016","24,8100","25,1500","25,1500","24,8125","","-0,96%"
"01.05.2016","25,0500","25,2000","25,5150","25,0450","","0,20%"
"01.04.2016","25,0000","26,1000","26,4200","25,0800","","-4,21%"
"01.03.2016","26,1000","27,0500","27,3100","25,2500","","-2,61%"
"01.02.2016","26,8000","25,7000","27,4350","24,9000","","4,69%"
"01.01.2016","25,6000","22,9500","25,7400","22,9500","","6,88%"
"01.12.2015","23,9520","24,0250","24,2000","22,5730","","1,03%"
"01.11.2015","23,7085","23,0000","24,2410","22,3000","","2,23%"
"01.10.2015","23,1920","21,1750","23,3540","21,0450","","7,77%"
"01.09.2015","21,5205","22,0500","23,1010","21,1050","","-2,62%"
"01.08.2015","22,1000","21,1000","22,9510","21,0420","","4,13%"
"01.07.2015","21,2240","21,1000","22,9310","20,9550","","1,11%"
"01.06.2015","20,9920","20,8000","22,5000","20,7550","","0,20%"
"01.05.2015","20,9500","20,8000","23,3750","20,0430","","-1,41%"
"01.04.2015","21,2500","23,4535","24,0438","20,5000","","-9,35%"
"01.03.2015","23,4429","26,7500","26,7500","21,3272","","-13,97%"
"01.02.2015","27,2500","16,2075","33,7500","16,0690","","68,65%"
"01.01.2015","16,1575","15,8185","16,6700","15,6215","","2,47%"
